,Village_ID,Bridge Site,value,Bridge_Lon,Bridge_Lat,Center_point,Village_Lat,Village_Lon,Purpose of Travel for Summary
114,25030401,Muregeya,1,29.380443,-2.024871,POINT (29.5782587880985 -2.47142310973006),-2.47142310973006,29.5782587880985,Other
115,41070105,Muregeya,1,29.380443,-2.024871,POINT (29.95966656536479 -1.667180306286072),-1.667180306286072,29.959666565364792,Other
116,23110102,Ruharazi,27,29.62627167,-2.77676167,POINT (29.64372593773162 -2.736391497023783),-2.736391497023783,29.643725937731624,Healthcare
117,23140201,Ruharazi,1,29.62627167,-2.77676167,POINT (29.60635630961907 -2.702430420779128),-2.702430420779128,29.60635630961907,Other
118,23110306,Ruharazi,51,29.62627167,-2.77676167,POINT (29.62006828177725 -2.788754324504954),-2.7887543245049535,29.62006828177725,Other
119,23110303,Ruharazi,217,29.62627167,-2.77676167,POINT (29.62387042754783 -2.780569013172296),-2.780569013172296,29.62387042754783,Other
120,23110204,Ruharazi,123,29.62627167,-2.77676167,POINT (29.63419855151623 -2.771409008386443),-2.7714090083864433,29.63419855151623,Other
121,23110202,Ruharazi,3,29.62627167,-2.77676167,POINT (29.62576271905541 -2.769275012849553),-2.769275012849553,29.625762719055412,Livelihood
122,23090203,Ruharazi,8,29.62627167,-2.77676167,POINT (29.66067199299737 -2.742338152933199),-2.742338152933199,29.66067199299737,Other
123,23090104,Ruharazi,1,29.62627167,-2.77676167,POINT (29.68082462369548 -2.783036297145948),-2.7830362971459484,29.680824623695482,Livelihood
124,23080101,Ruharazi,1,29.62627167,-2.77676167,POINT (29.6641763499272 -2.69213528287928),-2.69213528287928,29.664176349927203,Other
125,23020506,Ruharazi,2,29.62627167,-2.77676167,POINT (29.60522773081084 -2.782851422932457),-2.782851422932457,29.60522773081084,Other
126,23020505,Ruharazi,2,29.62627167,-2.77676167,POINT (29.61025624390956 -2.793896641616626),-2.7938966416166258,29.610256243909557,Other
127,24010202,Ruharazi,5,29.62627167,-2.77676167,POINT (29.69673249261745 -2.6656166138465),-2.6656166138465003,29.69673249261745,Livelihood
128,23020103,Ruharazi,1,29.62627167,-2.77676167,POINT (29.58632054064099 -2.722850310070581),-2.7228503100705805,29.58632054064099,Other
129,35050601,Rwamamara,93,29.62303,-1.83113,POINT (29.61457422544417 -1.828438182524218),-1.828438182524218,29.61457422544417,Livelihood
130,27080303,Rwamamara,3,29.62303,-1.83113,POINT (29.75645463371043 -2.081565658178645),-2.081565658178645,29.756454633710433,Other
131,33050306,Rwamamara,3,29.62303,-1.83113,POINT (29.34406407338247 -1.698751507335681),-1.698751507335681,29.344064073382466,Other
132,34070203,Rwamamara,5,29.62303,-1.83113,POINT (29.498318302989 -1.618719234990366),-1.618719234990366,29.498318302989,Livelihood
133,24090103,Rwamamara,1,29.62303,-1.83113,POINT (29.74705197936801 -2.598583784100765),-2.598583784100765,29.747051979368006,Livelihood
134,35020103,Rwamamara,1,29.62303,-1.83113,POINT (29.6467567844127 -1.947097881709656),-1.9470978817096558,29.646756784412702,Education
135,35030101,Rwamamara,28,29.62303,-1.83113,POINT (29.62100177115387 -1.814912155073849),-1.8149121550738487,29.621001771153868,Other
136,35030103,Rwamamara,1,29.62303,-1.83113,POINT (29.61624204165787 -1.808219725609206),-1.8082197256092059,29.61624204165787,Other
137,35030207,Rwamamara,1,29.62303,-1.83113,POINT (29.61456377901721 -1.782738315536992),-1.7827383155369916,29.614563779017207,Livelihood
138,35040301,Rwamamara,1,29.62303,-1.83113,POINT (29.54361728203908 -1.751817696014814),-1.7518176960148144,29.54361728203908,Other
139,35040308,Rwamamara,1,29.62303,-1.83113,POINT (29.5507565205199 -1.752637216670359),-1.7526372166703585,29.550756520519904,Other
140,35050602,Rwamamara,331,29.62303,-1.83113,POINT (29.6212111140706 -1.827716223108089),-1.8277162231080888,29.621211114070604,Livelihood
141,33040403,Rwamamara,3,29.62303,-1.83113,POINT (29.24716901113194 -1.680262268476403),-1.6802622684764033,29.247169011131945,Other
142,35050603,Rwamamara,12,29.62303,-1.83113,POINT (29.60604920915575 -1.827855316503507),-1.827855316503507,29.606049209155746,Other
143,35070204,Rwamamara,1,29.62303,-1.83113,POINT (29.61293830115906 -1.761693365410272),-1.7616933654102718,29.612938301159062,Other
144,35090302,Rwamamara,2,29.62303,-1.83113,POINT (29.62613927100709 -1.88937683882513),-1.88937683882513,29.626139271007094,Education
145,35100105,Rwamamara,15,29.62303,-1.83113,POINT (29.61273985505905 -1.995339058095141),-1.995339058095141,29.612739855059047,Livelihood
